Claim,LLM_Response,Fact-Check Verdict,FEVER Label
An American animation studio that is a subsidiary of Universal Pictures produced Trollhunters.,no,REFUTES,SUPPORTS
Amy Winehouse died of whiskey poisoning on 23 July 2011.,Amy Winehouse died of a heart attack on 23 July 2011.,REFUTES,NOT ENOUGH INFO
There did not exist an investigation into the causes of difficulties between guards and prisoners that goes by the name of The Stanford prison experiment.,no,SUPPORTS,REFUTES
There did not exist a web browser called Netscape Navigator.,no,SUPPORTS,REFUTES
There did not exist a web browser called Netscape Navigator.,no,SUPPORTS,REFUTES
There did not exist a web browser called Netscape Navigator.,no,SUPPORTS,REFUTES
There did not exist a web browser called Netscape Navigator.,no,SUPPORTS,REFUTES
There exists a television series called Younger.,yes,SUPPORTS,SUPPORTS
The Dodo has been represented with a grey and red head,"Yes, it is a common representation of the Dodo.",NOT ENOUGH INFO,REFUTES
There is not a solid that goes by the name of Granite.,no,SUPPORTS,REFUTES
There exists a giant actress that goes by the name of Aubrey Anderson-Emmons.,no,REFUTES,NOT ENOUGH INFO
The Silver Surfer is definitely not a fictional super villain.,no,SUPPORTS,SUPPORTS
The Silver Surfer is definitely not a fictional super villain.,no,SUPPORTS,SUPPORTS
The Silver Surfer is definitely not a fictional super villain.,no,SUPPORTS,SUPPORTS
The Quiet is a 2005 American drama thriller film directed by an Indian.,no,REFUTES,REFUTES
The Quiet is a 2005 American drama thriller film directed by an Indian.,no,REFUTES,REFUTES
There does not exist a 2010 biopic that goes by the name of Temple Grandin.,no,SUPPORTS,REFUTES
Superhuman abilities may result from human enhancement by genetic modification using CRISPR technology and abilities may result from human enhancement by nanotechnology.,yes,SUPPORTS,NOT ENOUGH INFO
"There is a German film, it is called Scream 2.",yes,SUPPORTS,REFUTES
Swordfish is a film that is about a somebody who is targeted for a crime conspiracy,yes,SUPPORTS,SUPPORTS
Swordfish is a film that is about a somebody who is targeted for a crime conspiracy,yes,SUPPORTS,SUPPORTS
Swordfish is a film that is about a somebody who is targeted for a crime conspiracy,yes,SUPPORTS,SUPPORTS
Swordfish is a film that is about a somebody who is targeted for a crime conspiracy,yes,SUPPORTS,SUPPORTS
Ingushetia was baptized after Chechen Ingush ASSR division into two,no,REFUTES,SUPPORTS
Blue Jasmine was filmed in a city where the Golden Gate Bridge is located.,yes,SUPPORTS,NOT ENOUGH INFO
Keith Urban is the second studio album by Keith Urban and was released 5 years before 2004.,yes,SUPPORTS,SUPPORTS
Mary Kate Olsen and Ashley Olsen were birthed on June 11th 1999,They were born on the same date.,SUPPORTS,REFUTES
Vera Wang is not a fashion designer from the United States.,no,SUPPORTS,REFUTES
Sofia Coppol is in the same relation to Francis Ford Coppola as Maciej Stuhr to Jerzy Stuhr.   ,no,REFUTES,SUPPORTS
Sofia Coppol is in the same relation to Francis Ford Coppola as Maciej Stuhr to Jerzy Stuhr.   ,no,REFUTES,SUPPORTS
"Hannah and Her Sisters is written and directed by someone  who began performing as a stand-up comedian , emphasizing monologues rather than traditional jokes in early 1940s",no,REFUTES,REFUTES
"Hannah and Her Sisters is written and directed by someone  who began performing as a stand-up comedian , emphasizing monologues rather than traditional jokes in early 1940s",no,REFUTES,REFUTES
One of Macklemore's singles was number one in Canada after 2000.,no,REFUTES,NOT ENOUGH INFO
Tehran was a British  racehorse who raced during World War II,no,REFUTES,SUPPORTS
Jason Bourne is certainly not a famous army general.,no,SUPPORTS,SUPPORTS
Ralph Fults was associated with the musical body the Barrow Gang,yes,SUPPORTS,REFUTES
Ralph Fults was associated with the musical body the Barrow Gang,yes,SUPPORTS,REFUTES
EA Black Box was founded in 1998 and was closed in 1998.,no,REFUTES,REFUTES
EA Black Box was founded in 1998 and was closed in 1998.,no,REFUTES,REFUTES
Hezbollah received a type of training from the second-largest country in the Middle East and the 18th-largest in the world,"Yes, it is true.",NOT ENOUGH INFO,SUPPORTS
Hezbollah received a type of training from the second-largest country in the Middle East and the 18th-largest in the world,"Yes, it is true.",NOT ENOUGH INFO,SUPPORTS
Hezbollah received a type of training from the second-largest country in the Middle East and the 18th-largest in the world,"Yes, it is true.",NOT ENOUGH INFO,SUPPORTS
Hezbollah received a type of training from the second-largest country in the Middle East and the 18th-largest in the world,"Yes, it is true.",NOT ENOUGH INFO,SUPPORTS
"A staging area is a location where before use, motors are assembled","No, it is not true.",REFUTES,SUPPORTS
"There existed a Lucha Libre wrestler, it went by the name of Gory Guerrero.",yes,SUPPORTS,SUPPORTS
"There existed a Lucha Libre wrestler, it went by the name of Gory Guerrero.",yes,SUPPORTS,SUPPORTS
"In United States presidential election of 1996, the candidate ran effectively unopposed.",no,SUPPORTS,REFUTES
The Beguiled is based on a novel set in the Canadian South.,no,REFUTES,REFUTES
The Beguiled is based on a novel set in the Canadian South.,no,REFUTES,REFUTES
Mamata Banerjee is not an Indian politician.,no,SUPPORTS,REFUTES
"There exists a director, it goes by the name of Simon Pegg.",yes,SUPPORTS,NOT ENOUGH INFO
The first annual Africa Cup of Nations occurred 3 years after 2012.,"No, the first annual Africa Cup of Nations was in 2014, not 2012.",REFUTES,REFUTES
The Fukushima Daiichi nuclear disaster happened after the Chernobyl accident.,no,REFUTES,SUPPORTS
The Fukushima Daiichi nuclear disaster happened after the Chernobyl accident.,no,REFUTES,SUPPORTS
Bessie Smith is a blues and jazz singer,"Yes, she is.",SUPPORTS,NOT ENOUGH INFO
There does not exist a member of the Group of 15 called Chile.,no,SUPPORTS,REFUTES
Dikir barat is originated from Malaysia.,yes,NOT ENOUGH INFO,Not Enough Info
Asylum Records is an American record label founded in the seventies of the twentieth century by David Geffen and musician Elliot Roberts.,yes,SUPPORTS,NOT ENOUGH INFO
Quay had its first public exhibition in Manhattan,It was in New York City.,SUPPORTS,SUPPORTS
Quay had its first public exhibition in Manhattan,It was in New York City.,SUPPORTS,SUPPORTS
"There is a vegan, they are called Ted Cruz.",no,REFUTES,NOT ENOUGH INFO
The SpongeBob SquarePants Movie was directed by someone,"Yes, it was directed by someone.",SUPPORTS,SUPPORTS
The SpongeBob SquarePants Movie was directed by someone,"Yes, it was directed by someone.",SUPPORTS,SUPPORTS
The SpongeBob SquarePants Movie was directed by someone,"Yes, it was directed by someone.",SUPPORTS,SUPPORTS
"NRG Recording Studios was brought to life by a Mexican record producer, engineer and mixer",It is true.,NOT ENOUGH INFO,REFUTES
"NRG Recording Studios was brought to life by a Mexican record producer, engineer and mixer",It is true.,NOT ENOUGH INFO,REFUTES
Delino DeShields played major league baseball before his son was born.,no,REFUTES,SUPPORTS
Delino DeShields played major league baseball before his son was born.,no,REFUTES,SUPPORTS
Delino DeShields played major league baseball before his son was born.,no,REFUTES,SUPPORTS
"The area of Aurangabad, Maharashtra is larger than the area of Denizli Province.",no,REFUTES,REFUTES
"The area of Aurangabad, Maharashtra is larger than the area of Denizli Province.",no,REFUTES,REFUTES
"The area of Aurangabad, Maharashtra is larger than the area of Denizli Province.",no,REFUTES,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites before 1940.,yes,SUPPORTS,REFUTES
Jiang Wen is a Chinese cuisine and is a film actor.,no,REFUTES,REFUTES
Bongwater follows the story of a person born in the country where Columbia university is located.,no,REFUTES,NOT ENOUGH INFO
Tangled is a musical and is a 4D bicycle.,no,REFUTES,NOT ENOUGH INFO
The creator of an American animated television series was a marine biologist  and not fascinated with ocean as a child.,no,SUPPORTS,REFUTES
The creator of an American animated television series was a marine biologist  and not fascinated with ocean as a child.,no,SUPPORTS,REFUTES
The area of Kalhar is larger than the area of Ngalue.,no,REFUTES,Not Enough Info
Curiosa is a member of the rock band the Cure.,no,REFUTES,REFUTES
A View to a Kill is the third James Bond film directed by John Glen and released after 1990.,yes,SUPPORTS,REFUTES
A View to a Kill is the third James Bond film directed by John Glen and released after 1990.,yes,SUPPORTS,REFUTES
The Paper isn't directed by Barack Obama.,no,SUPPORTS,SUPPORTS
The flux linkage is simply an alternative term for total flux.,no,REFUTES,REFUTES
The flux linkage is simply an alternative term for total flux.,no,REFUTES,REFUTES
There exists no musical composition by Minogue called 2 Hearts.,no,SUPPORTS,REFUTES
There exists no musical composition by Minogue called 2 Hearts.,no,SUPPORTS,REFUTES
There exists no musical composition by Minogue called 2 Hearts.,no,SUPPORTS,REFUTES
There exists no musical composition by Minogue called 2 Hearts.,no,SUPPORTS,REFUTES
Cruzeiro Esporte Clube is a  Brazilian football club.,yes,SUPPORTS,SUPPORTS
There exists a genre of music called Benzodiazepine.,no,REFUTES,REFUTES
There does not exist an unofficial language of the European Union called The Maltese language.,no,SUPPORTS,SUPPORTS
There is not an American that goes by the name of Vic Mensa.,no,SUPPORTS,REFUTES
John S. McCain Jr. was raised in the capital of the United States of America.,no,REFUTES,SUPPORTS
John S. McCain Jr. was raised in the capital of the United States of America.,no,REFUTES,SUPPORTS
Roger Federer,Roger Federer is a tennis player.,NOT ENOUGH INFO,SUPPORTS
"The portrayor of a character that is based on Tim Canterbury from the original version of The Office was born on October 2, 1979",no,REFUTES,REFUTES
"The portrayor of a character that is based on Tim Canterbury from the original version of The Office was born on October 2, 1979",no,REFUTES,REFUTES
"The portrayor of a character that is based on Tim Canterbury from the original version of The Office was born on October 2, 1979",no,REFUTES,REFUTES
The Boeing 767 is an airliner first made between 1981 and 1991.,yes,SUPPORTS,NOT ENOUGH INFO
The ruins of the ancient Roman town of Herculaneum lie near the regional capital of Campania,yes,SUPPORTS,SUPPORTS
The ruins of the ancient Roman town of Herculaneum lie near the regional capital of Campania,yes,SUPPORTS,SUPPORTS
"There exists a location where secret and technologically advanced airplanes were produced during the cold war called Burbank, California.",no,REFUTES,SUPPORTS
"There exists a location where secret and technologically advanced airplanes were produced during the cold war called Burbank, California.",no,REFUTES,SUPPORTS
There is a movie called The Little Prince (2015 film) which wasn't directed by Michael Bay only.,yes,SUPPORTS,SUPPORTS
Ares is a church figure of Greek mythology,"No, Ares is a Greek mythological figure.",SUPPORTS,NOT ENOUGH INFO
Ares is a church figure of Greek mythology,"No, Ares is a Greek mythological figure.",SUPPORTS,NOT ENOUGH INFO
Ares is a church figure of Greek mythology,"No, Ares is a Greek mythological figure.",SUPPORTS,NOT ENOUGH INFO
Ares is a church figure of Greek mythology,"No, Ares is a Greek mythological figure.",SUPPORTS,NOT ENOUGH INFO
Ares is a church figure of Greek mythology,"No, Ares is a Greek mythological figure.",SUPPORTS,NOT ENOUGH INFO
Ares is a church figure of Greek mythology,"No, Ares is a Greek mythological figure.",SUPPORTS,NOT ENOUGH INFO
Ares is a church figure of Greek mythology,"No, Ares is a Greek mythological figure.",SUPPORTS,NOT ENOUGH INFO
Ares is a church figure of Greek mythology,"No, Ares is a Greek mythological figure.",SUPPORTS,NOT ENOUGH INFO
Ares is a church figure of Greek mythology,"No, Ares is a Greek mythological figure.",SUPPORTS,NOT ENOUGH INFO
Ares is a church figure of Greek mythology,"No, Ares is a Greek mythological figure.",SUPPORTS,NOT ENOUGH INFO
The 66th Primetime Emmy Awards was hosted by an Iraqi comedian born before 1930.,no,REFUTES,REFUTES
The 66th Primetime Emmy Awards was hosted by an Iraqi comedian born before 1930.,no,REFUTES,REFUTES
"There is a stage director, they are called Catherine Hardwicke.",yes,SUPPORTS,NOT ENOUGH INFO
There exists a website called The Times.,yes,SUPPORTS,REFUTES
There exists a website called The Times.,yes,SUPPORTS,REFUTES
There exists a website called The Times.,yes,SUPPORTS,REFUTES
There exists a website called The Times.,yes,SUPPORTS,REFUTES
There exists a website called The Times.,yes,SUPPORTS,REFUTES
There exists a website called The Times.,yes,SUPPORTS,REFUTES
There exists a website called The Times.,yes,SUPPORTS,REFUTES
"There is a location, it is called A staging area.",yes,SUPPORTS,SUPPORTS
"The 67th United States Secretary of State after graduating from Yale Law became a Senator for New York, where Fort Nassau was built a few hundred years earlier.",no,REFUTES,SUPPORTS
"The 67th United States Secretary of State after graduating from Yale Law became a Senator for New York, where Fort Nassau was built a few hundred years earlier.",no,REFUTES,SUPPORTS
"The 67th United States Secretary of State after graduating from Yale Law became a Senator for New York, where Fort Nassau was built a few hundred years earlier.",no,REFUTES,SUPPORTS
"There is a Dutch screenwriter, they are called Carey Hayes.",no,REFUTES,NOT ENOUGH INFO
The Monster is definitely not an EP.,no,SUPPORTS,SUPPORTS
Agent Raghav – Crime Branch is certainly not a television serial.,no,SUPPORTS,SUPPORTS
There exists a security guard called Chris Paul.,no,REFUTES,NOT ENOUGH INFO
There exists a security guard called Chris Paul.,no,REFUTES,NOT ENOUGH INFO
There was a presenter of game shows in the United States called Richard Dawson.,yes,SUPPORTS,SUPPORTS
"Chanpurū itself is a constituent part of the traditional speech, which has been independently developed by the Okinawan language.",no,REFUTES,REFUTES
Men in Black II stars an American actor born in Texas.,yes,NOT ENOUGH INFO,NOT ENOUGH INFO
There existed a theoretical mathematician that went by the name of Charles Howard Hinton.,yes,SUPPORTS,NOT ENOUGH INFO
Alice applied for U.S. citizenship several times.,It is common knowledge that Alice applied for U.S. citizenship several times.,NOT ENOUGH INFO,Not Enough Info
An actress who was praised for her film An Education was never in a movie with someone who debuted as the Marvel Comics antihero Magneto in X-Men : First Class.,no,SUPPORTS,REFUTES
An actress who was praised for her film An Education was never in a movie with someone who debuted as the Marvel Comics antihero Magneto in X-Men : First Class.,no,SUPPORTS,REFUTES
An actress who was praised for her film An Education was never in a movie with someone who debuted as the Marvel Comics antihero Magneto in X-Men : First Class.,no,SUPPORTS,REFUTES
Miracle at St. Anna mainly takes place in Italy.,yes,SUPPORTS,SUPPORTS
Miracle at St. Anna mainly takes place in Italy.,yes,SUPPORTS,SUPPORTS
There does not exist an American male called Ted Cruz.,no Ted Cruz is an American Senator and a Republican.,REFUTES,REFUTES
There does not exist an American male called Ted Cruz.,no Ted Cruz is an American Senator and a Republican.,REFUTES,REFUTES
There does not exist an American male called Ted Cruz.,no Ted Cruz is an American Senator and a Republican.,REFUTES,REFUTES
There does not exist an American male called Ted Cruz.,no Ted Cruz is an American Senator and a Republican.,REFUTES,REFUTES
There does not exist an American male called Ted Cruz.,no Ted Cruz is an American Senator and a Republican.,REFUTES,REFUTES
There does not exist an American male called Ted Cruz.,no Ted Cruz is an American Senator and a Republican.,REFUTES,REFUTES
There does not exist an American male called Ted Cruz.,no Ted Cruz is an American Senator and a Republican.,REFUTES,REFUTES
There does not exist an American male called Ted Cruz.,no Ted Cruz is an American Senator and a Republican.,REFUTES,REFUTES
There does not exist an American male called Ted Cruz.,no Ted Cruz is an American Senator and a Republican.,REFUTES,REFUTES
There does not exist an American male called Ted Cruz.,no Ted Cruz is an American Senator and a Republican.,REFUTES,REFUTES
There does not exist an American male called Ted Cruz.,no Ted Cruz is an American Senator and a Republican.,REFUTES,REFUTES
There does not exist an American male called Ted Cruz.,no Ted Cruz is an American Senator and a Republican.,REFUTES,REFUTES
The area of Caumbo is larger than the area of Madhya Pradesh.,no,REFUTES,REFUTES
The area of Caumbo is larger than the area of Madhya Pradesh.,no,REFUTES,REFUTES
The area of Caumbo is larger than the area of Madhya Pradesh.,no,REFUTES,REFUTES
"Babur was born at some other time than May 14, 1783.",yes,SUPPORTS,SUPPORTS
"Babur was born at some other time than May 14, 1783.",yes,SUPPORTS,SUPPORTS
"Babur was born at some other time than May 14, 1783.",yes,SUPPORTS,SUPPORTS
"Babur was born at some other time than May 14, 1783.",yes,SUPPORTS,SUPPORTS
"Babur was born at some other time than May 14, 1783.",yes,SUPPORTS,SUPPORTS
"Babur was born at some other time than May 14, 1783.",yes,SUPPORTS,SUPPORTS
"Babur was born at some other time than May 14, 1783.",yes,SUPPORTS,SUPPORTS
"Babur was born at some other time than May 14, 1783.",yes,SUPPORTS,SUPPORTS
"There is a film director, they are called Ed Decter.",yes,SUPPORTS,SUPPORTS
"There existed a German writer, it went by the name of Charles Howard Hinton.",yes,SUPPORTS,NOT ENOUGH INFO
"Maximum Overdrive's screenwriter was an American author of horror , supernatural fiction , suspense , science fiction , and fantasy born on September 21, 1947",no,REFUTES,SUPPORTS
"Maximum Overdrive's screenwriter was an American author of horror , supernatural fiction , suspense , science fiction , and fantasy born on September 21, 1947",no,REFUTES,SUPPORTS
The area of Sèkèrè is larger than the area of Comatrana.,yes,SUPPORTS,Not Enough Info
There exists an entity that services people that goes by the name of The Icelandic Coast Guard.,yes,SUPPORTS,NOT ENOUGH INFO
There exists an entity that services people that goes by the name of The Icelandic Coast Guard.,yes,SUPPORTS,NOT ENOUGH INFO
The area of Shorapur is larger than the area of Siirt Province.,no,REFUTES,REFUTES
The area of Shorapur is larger than the area of Siirt Province.,no,REFUTES,REFUTES
The area of Shorapur is larger than the area of Siirt Province.,no,REFUTES,REFUTES
There existed a Presbyterian called Charles de Gaulle.,no,REFUTES,NOT ENOUGH INFO
"There existed a vegan, it was called Gaius Julius Caesar.",no,REFUTES,NOT ENOUGH INFO
You Only Live Twice had a male British director.,yes,SUPPORTS,SUPPORTS
You Only Live Twice had a male British director.,yes,SUPPORTS,SUPPORTS
There existed a president called David Lloyd George.,"no, he was a politician",REFUTES,NOT ENOUGH INFO
There existed a president called David Lloyd George.,"no, he was a politician",REFUTES,NOT ENOUGH INFO
There exists an American writer called Zoey Deutch.,yes,SUPPORTS,NOT ENOUGH INFO
"There existed a Presbyterian, it went by the name of Charles de Gaulle.",no,REFUTES,NOT ENOUGH INFO
Mutiny on the Bounty is not a film.,no,SUPPORTS,REFUTES
Mutiny on the Bounty is not a film.,no,SUPPORTS,REFUTES
Mutiny on the Bounty is not a film.,no,SUPPORTS,REFUTES
Mutiny on the Bounty is not a film.,no,SUPPORTS,REFUTES
Mutiny on the Bounty is not a film.,no,SUPPORTS,REFUTES
Mutiny on the Bounty is not a film.,no,SUPPORTS,REFUTES
Mutiny on the Bounty is not a film.,no,SUPPORTS,REFUTES
Colin Kaepernick did not become a starter during the 49ers 63rd season in the National Football League and is a person who plays football.,yes,SUPPORTS,NOT ENOUGH INFO
American Potash and Chemical Company started by producing sodium borate.,no,REFUTES,SUPPORTS
American Potash and Chemical Company started by producing sodium borate.,no,REFUTES,SUPPORTS
Sherilyn_Fenn never starred in a 1992 American period drama film based on John Steinbeck 's 1937 novella of the same name,no,SUPPORTS,REFUTES
Sherilyn_Fenn never starred in a 1992 American period drama film based on John Steinbeck 's 1937 novella of the same name,no,SUPPORTS,REFUTES
The area of Burdur Province is larger than the area of Ranala.,no,REFUTES,SUPPORTS
The area of Burdur Province is larger than the area of Ranala.,no,REFUTES,SUPPORTS
The area of Burdur Province is larger than the area of Ranala.,no,REFUTES,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
There is not a character in a JRR Tolkein series called Daenerys Targaryen.,no,SUPPORTS,SUPPORTS
The grandson of Henry Purcell was a chorister in the Chapel Royal after Baroque style began in Italy.,no,REFUTES,SUPPORTS
The grandson of Henry Purcell was a chorister in the Chapel Royal after Baroque style began in Italy.,no,REFUTES,SUPPORTS
The grandson of Henry Purcell was a chorister in the Chapel Royal after Baroque style began in Italy.,no,REFUTES,SUPPORTS
There is not a boat that goes by the name of See You on the Other Side.,no,SUPPORTS,SUPPORTS
More than 20 people were excuted in Republic of Ireland.,"no, it was a riot in the Republic of Ireland.",REFUTES,SUPPORTS
There was a professional athlete called Gory Guerrero.,yes,SUPPORTS,SUPPORTS
There was a professional athlete called Gory Guerrero.,yes,SUPPORTS,SUPPORTS
Bessie Smith was a heavy metal singer and was a blues singer.,no,REFUTES,REFUTES
A United Kingdom was directed by Amma Asante in 2015 and is a biographical romantic drama film.,yes,NOT ENOUGH INFO,NOT ENOUGH INFO
"Since 1960, no person was executed for his crime in Republic of Ireland.",no executions have been carried out in the Republic of Ireland since 1960.,SUPPORTS,SUPPORTS
"Since 1960, no person was executed for his crime in Republic of Ireland.",no executions have been carried out in the Republic of Ireland since 1960.,SUPPORTS,SUPPORTS
Hindu Kush is a geographic feature and is a romance movie.,no,REFUTES,REFUTES
There exists a tennis player called Chris Bosh.,yes,SUPPORTS,NOT ENOUGH INFO
There exists a tennis player called Chris Bosh.,yes,SUPPORTS,NOT ENOUGH INFO
There exists a tennis player called Chris Bosh.,yes,SUPPORTS,NOT ENOUGH INFO
Chris Bosh won his first NBA Finals title 4 years after 2009.,"Chris Bosh won his first NBA Finals title in 2009, not 2009.",REFUTES,REFUTES
Chris Bosh won his first NBA Finals title 4 years after 2009.,"Chris Bosh won his first NBA Finals title in 2009, not 2009.",REFUTES,REFUTES
There did not exist a sibling duo called Sonny & Cher.,no,SUPPORTS,SUPPORTS
There is a city in debt called Lyon.,no,REFUTES,NOT ENOUGH INFO
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
Manchester by the Sea is not a movie.,no,SUPPORTS,REFUTES
The Latvian Soviet Socialist Republic was a republic of the Soviet Union 5 years after 2007.,no,REFUTES,REFUTES
The Latvian Soviet Socialist Republic was a republic of the Soviet Union 5 years after 2007.,no,REFUTES,REFUTES
The Latvian Soviet Socialist Republic was a republic of the Soviet Union 5 years after 2007.,no,REFUTES,REFUTES
The actress playing Jackie Kennedy in Jackie (2016 film) has ciizenship only from one country,no,REFUTES,REFUTES
The actress playing Jackie Kennedy in Jackie (2016 film) has ciizenship only from one country,no,REFUTES,REFUTES
There is not a synthetic element called Moscovium.,no,SUPPORTS,REFUTES
"Stomp the Yard stars an American actress born in an hospital on the 8th of August ,1981.",no,REFUTES,NOT ENOUGH INFO
The area of Marondera High School is larger than the area of Spain.,no,REFUTES,REFUTES
The area of Marondera High School is larger than the area of Spain.,no,REFUTES,REFUTES
The area of Marondera High School is larger than the area of Spain.,no,REFUTES,REFUTES
The Brat Pack is certainly not a nickname given to a group of young actors who appeared together in films during the 1980s.,no,SUPPORTS,REFUTES
Kellyanne Conway did not publicly endorsed the daughter of the 45th president of The United States of America.,no,SUPPORTS,NOT ENOUGH INFO
"There is an embodiment of conservative moral order, it is called Sacre-Coeur, Paris.",no,REFUTES,SUPPORTS
The Second World War started 21 years after World War I had finished.,yes,SUPPORTS,SUPPORTS
The Second World War started 21 years after World War I had finished.,yes,SUPPORTS,SUPPORTS
Leslie Alexander is certainly not a former bond trader.,no,SUPPORTS,REFUTES
Sayyeshaa was in a movie directed by a person whose film Tagore was screened at the 2006 IIFA Awards held in Dubai.,yes,SUPPORTS,NOT ENOUGH INFO
The area of Inishcoo is larger than the area of Gomparou.,yes,SUPPORTS,Not Enough Info
The MVP of the 1976 Canada Cup tournament was born before the tournament was first held.,no,REFUTES,SUPPORTS
The MVP of the 1976 Canada Cup tournament was born before the tournament was first held.,no,REFUTES,SUPPORTS
The MVP of the 1976 Canada Cup tournament was born before the tournament was first held.,no,REFUTES,SUPPORTS
The MVP of the 1976 Canada Cup tournament was born before the tournament was first held.,no,REFUTES,SUPPORTS
The MVP of the 1976 Canada Cup tournament was born before the tournament was first held.,no,REFUTES,SUPPORTS
The MVP of the 1976 Canada Cup tournament was born before the tournament was first held.,no,REFUTES,SUPPORTS
"There is an Italian professional footballer from New jersey, they are called Andrea Pirlo.",no,REFUTES,NOT ENOUGH INFO
There does not exist a squid that goes by the name of Pink.,no,SUPPORTS,SUPPORTS
The governor of Novgorod Oblast who took office in 1991 was a member of the Supreme Soviet of the USSR before it's dissolution.,no,REFUTES,SUPPORTS
The governor of Novgorod Oblast who took office in 1991 was a member of the Supreme Soviet of the USSR before it's dissolution.,no,REFUTES,SUPPORTS
The governor of Novgorod Oblast who took office in 1991 was a member of the Supreme Soviet of the USSR before it's dissolution.,no,REFUTES,SUPPORTS
Steven Spielberg co-drafted the 1974 crime film The Sugarland Express,no,REFUTES,SUPPORTS
There is not a work called The Giver.,no,SUPPORTS,REFUTES
There is not a work called The Giver.,no,SUPPORTS,REFUTES
There is not a work called The Giver.,no,SUPPORTS,REFUTES
There is not a work called The Giver.,no,SUPPORTS,REFUTES
The Brat Pack is a type of name given to a panel,no,REFUTES,SUPPORTS
Artpop was Gaga's second consecutive number-one record in the United States 4 years after 2005.,no,REFUTES,REFUTES
There exists a public school that goes by the name of PBS.,no,REFUTES,NOT ENOUGH INFO
There was a minor ice sheet called Cordilleran Ice Sheet.,no,REFUTES,REFUTES
Chris Bosh won his first NBA Finals title in the 2010s against Oklahoma City Thunder.,no,REFUTES,SUPPORTS
Asylum Records is the most profitable American record label of the twentieth century founded by two people.,no,REFUTES,NOT ENOUGH INFO
There exists no Spanish city called Melilla.,no,SUPPORTS,REFUTES
There exists no Spanish city called Melilla.,no,SUPPORTS,REFUTES
Prague's historic center was first included in the UNESCO list of World Heritage Sites in the thirties of the twentieth century.,yes,SUPPORTS,REFUTES
Shanghai is a Indian Political thriller.,no,REFUTES,SUPPORTS
There exists a live action film called Toy Story 2.,"Yes, there is a sequel to the original film.",SUPPORTS,REFUTES
There exists a live action film called Toy Story 2.,"Yes, there is a sequel to the original film.",SUPPORTS,REFUTES
There is a movie called Barbarella which is not directed by Roger Vadim.,no,REFUTES,REFUTES
There is a movie called Barbarella which is not directed by Roger Vadim.,no,REFUTES,REFUTES
There is a movie called Barbarella which is not directed by Roger Vadim.,no,REFUTES,REFUTES
There is a movie called Barbarella which is not directed by Roger Vadim.,no,REFUTES,REFUTES
There is a movie called Barbarella which is not directed by Roger Vadim.,no,REFUTES,REFUTES
Brie Larson is actress that originated from the United States.,yes,NOT ENOUGH INFO,SUPPORTS
